,name,addr,city,phone,type,cuisine_type
249,anthonys, 3109 piedmont rd. . just south of peachtree rd. ,atlanta,4042627379,american,american
250,atlanta fish market, 265 pharr rd. ,atlanta,4042623165,american,american
251,bertolini's, 3500 peachtree rd. . phipps plaza ,atlanta,4042332333,italian,italian
252,cafe renaissance, 7050 jimmy carter blvd. . norcross ,atlanta,7704410291,american,american
253,camille's, 1186 n. highland ave. ,atlanta,4048727203,italian,italian
254,colonnade restaurant, 1879 cheshire bridge rd. ,atlanta,4048745642,southern,southern
255,french quarter food shop, 923 peachtree st. at 8th st. ,atlanta,4048752489,southern,southern
256,horseradish grill, 4320 powers ferry rd. ,atlanta,4042557277,southern,southern
257,hsu's gourmet, 192 peachtree center ave. at international blvd. ,atlanta,4046592788,asian,asian
258,kamogawa, 3300 peachtree rd. . grand hyatt ,atlanta,4048410314,asian,asian
259,la grotta at ravinia dunwoody rd., holiday inn/crowne plaza at ravinia dunwoody ,atlanta,7703959925,italian,italian
260,little szechuan, c buford hwy . northwoods plaza doraville ,atlanta,7704510192,asian,asian
261,mckinnon's louisiane, 3209 maple dr. ,atlanta,4042371313,southern,southern
262,mi spia dunwoody rd., park place across from perimeter mall dunwoody ,atlanta,7703931333,italian,italian
263,pleasant peasant, 555 peachtree st. at linden ave. ,atlanta,4048743223,american,american
264,pricci, 500 pharr rd. ,atlanta,4042372941,italian,italian
265,r.j.'s uptown kitchen & wine bar, 870 n. highland ave. ,atlanta,4048757775,american,american
266,sa tsu ki, 3043 buford hwy . ,atlanta,4043255285,asian,asian
267,sato sushi and thai, 6050 peachtree pkwy . norcross ,atlanta,7704490033,asian,asian
268,south city kitchen, 1144 crescent ave. ,atlanta,4048737358,southern,southern
269,stringer's fish camp and oyster bar, 3384 shallowford rd. . chamblee ,atlanta,7704587145,southern,southern
270,sundown cafe, 2165 cheshire bridge rd. ,atlanta,4043211118,american,american
271,taste of new orleans, 889 w. peachtree st. ,atlanta,4048745535,southern,southern
272,antonio's, 3700 w. flamingo ,las vegas,7022527737,italian,italian
273,bamboo garden, 4850 flamingo rd. ,las vegas,7028713262,asian,asian
274,battista's hole in the wall, 4041 audrie st. at flamingo rd. ,las vegas,7027321424,italian,italian
275,bertolini's, 3570 las vegas blvd. s ,las vegas,7027354663,italian,italian
276,broiler, 4111 boulder hwy . ,las vegas,7024327777,american,american
277,cafe michelle, 1350 e. flamingo rd. ,las vegas,7027358686,american,american
278,capozzoli's, 3333 s. maryland pkwy . ,las vegas,7027315311,italian,italian
279,center stage plaza hotel, 1 main st. ,las vegas,7023862512,american,american
280,em press court, 3570 las vegas blvd. s ,las vegas,7027317888,asian,asian
281,golden steer, 308 w. sahara ave. ,las vegas,7023844470,steakhouses,steakhouses
282,lillie langtry's, 129 e. fremont st. ,las vegas,7023857111,asian,asian
283,mandarin court, 1510 e. flamingo rd. ,las vegas,7027371234,asian,asian
284,margarita's mexican cantina, 3120 las vegas blvd. s ,las vegas,7027948200,mexican,mexican
285,mikado, 3400 las vegas blvd. s ,las vegas,7027917111,asian,asian
286,venetian, 3713 w. sahara ave. ,las vegas,7028764190,italian,italian
287,viva mercado's, 6182 w. flamingo rd. ,las vegas,7028718826,mexican,mexican
288,yolie's, 3900 paradise rd. ,las vegas,7027940700,steakhouses,steakhouses
289,2223, 2223 market st. ,san francisco,4154310692,american,american
290,acquarello, 1722 sacramento st. ,san francisco,4155675432,italian,italian
291,betelnut, 2030 union st. ,san francisco,4159298855,asian,asian
292,bix,56 gold st. ,san francisco,4154336300,american,american
293,buca giovanni, 800 greenwich st. ,san francisco,4157767766,italian,italian
294,cafe adriano, 3347 fillmore st. ,san francisco,4154744180,italian,italian
295,capp's corner, 1600 powell st. ,san francisco,4159892589,italian,italian
296,carta, 1772 market st. ,san francisco,4158633516,american,american
297,cypress club, 500 jackson st. ,san francisco,4152968555,american,american
298,fog city diner, 1300 battery st. ,san francisco,4159822000,american,american
299,gaylord's, ghirardelli sq. ,san francisco,4157718822,asian,asian
300,grand cafe hotel monaco, 501 geary st. ,san francisco,4152920101,american,american
301,harbor village, 4 embarcadero center ,san francisco,4157818833,asian,asian
302,harris, 2100 van ness ave. ,san francisco,4156731888,steakhouses,steakhouses
303,harry denton's, 161 steuart st. ,san francisco,4158821333,american,american
304,hong kong flower lounge, 5322 geary blvd. ,san francisco,4156688998,asian,asian
305,hong kong villa, 2332 clement st. ,san francisco,4157528833,asian,asian
306,hyde street bistro, 1521 hyde st. ,san francisco,4154417778,italian,italian
307,il fornaio levi's plaza, 1265 battery st. ,san francisco,4159860100,italian,italian
308,izzy's steak & chop house, 3345 steiner st. ,san francisco,4155630487,steakhouses,steakhouses
309,kabuto sushi, 5116 geary blvd. ,san francisco,4157525652,asian,asian
310,kuleto's, 221 powell st. ,san francisco,4153977720,italian,italian
311,kyo-ya . sheraton palace hotel, 2 new montgomery st. at market st. ,san francisco,4155465000,asian,asian
312,l   osteria del forno, 519 columbus ave. ,san francisco,4159821124,italian,italian
313,le soleil, 133 clement st. ,san francisco,4156684848,asian,asian
314,macarthur park, 607 front st. ,san francisco,4153985700,american,american
315,manora, 3226 mission st. ,san francisco,4158616224,asian,asian
316,north india, 3131 webster st. ,san francisco,4159311556,asian,asian
317,one market, 1 market st. ,san francisco,4157775577,american,american
318,oritalia, 1915 fillmore st. ,san francisco,4153461333,italian,italian
319,palio d   asti, 640 sacramento st. ,san francisco,4153959800,italian,italian
320,pane e vino, 3011 steiner st. ,san francisco,4153462111,italian,italian
321,perry's, 1944 union st. ,san francisco,4159229022,american,american
322,rubicon, 558 sacramento st. ,san francisco,4154344100,american,american
323,rumpus, 1 tillman pl . ,san francisco,4154212300,american,american
324,sanppo, 1702 post st. ,san francisco,4153463486,asian,asian
325,scala's bistro, 432 powell st. ,san francisco,4153958555,italian,italian
326,stars, 150 redwood alley ,san francisco,4158617827,american,american
327,stars cafe, 500 van ness ave. ,san francisco,4158614344,american,american
328,straits cafe, 3300 geary blvd. ,san francisco,4156681783,asian,asian
329,thepin, 298 gough st. ,san francisco,4158639335,asian,asian
330,ton kiang, 3148 geary blvd. ,san francisco,4157524440,asian,asian
331,vivande porta via, 2125 fillmore st. ,san francisco,4153464430,italian,italian
332,vivande ristorante, 670 golden gate ave. ,san francisco,4156739245,italian,italian
333,world wrapps, 2257 chestnut st. ,san francisco,4155639727,american,american
334,wu kong, 101 spear st. ,san francisco,4159579300,asian,asian
335,yank sing, 427 battery st. ,san francisco,4155414949,asian,asian
